productid,productname,manufacturerid,composition,listprice,gender,category,color,description
1064,rookie laceless candy buttons,373,Canvas Upper and Rubber Sole,39.99,F,sneakers,"Black,Multi",Classic low profile. Lace-less slip on with hidden elastic band and metal eyelets. Padded insole for comfort. Printed canvas upper. Vulcanized rubber sole
1073,roxbury mid boots,980,Man Made Material,27.99,M,boots,Black,"Classic self-tie lace closure, with adjustable strap closure. Durable rubber sole for optimal traction. Hi-top design"
1078,rula tribal print smoking shoe,691,Man-Made Materials,14.99,F,flats,Black,Lightly padded lining and footbed. Slip on design. Synthetic upper. Tribal patterning throughout. US sizing
1087,samba sneakers,514,SYNTHETIC LEATHER,65,M,sneakers,Black,Durable rubber sole. Improved durability. Self-tie lace closure. Signature Adidas stripes on side panel
1093,sandal w/front velcro strap,691,Man-Made Materials,22.99,F,sandals,Black,Ankle strap with velcro closure. Faux leather upper with studded detail. Lightly padded footbed. Textured rubber sole
1065,rosalia fringe rings platform bootie,565,Man-Made Materials,32.99,F,boots,Black,"6"" heel with 2"" platform. Fringes on vamp with metal rings. Pieced synthetic leather construction. Rubber sole with Dereon Fleur de Lis logo embossing. Zipper closure on inside of shoe with logo embossed hardware"
1066,rossi ap sneakers,481,"Textile Upper, Textile Insole, Rubber Sole",72.99,M,sneakers,Tan,Classic lace up enclosure. Durable rubber outsole. Gourmet logo on heel and outer. Low Top Design. Textile upper with all-over Cheetah pattern
1067,rossi lx sneakers,481,"Textile Upper, Textile Insole, Rubber Sole",65.99,M,sneakers,Camo,Classic lace up enclosure. Durable rubber outsole. Gourmet logo on heel and outer. Low Top Design. Textile upper with all-over camo pattern
1068,rothco black cold weather hiking boot,750,Leather and Man made materials,49.99,M,boots,Black,Heavy duty sole and exterior. High top design. Hiking boot construction. Lace-up closure. Made rugged hiking wear. Mid-top. Self tie lace closure. Soft padded lining. US sizing
1070,round toe hightop sneaker,512,Man-made materials,20.99,M,sneakers,"Black,Red",Designer logo on tongue and outer. Gripping rubber outsole. Padded ankle for comfort. Self tie lace closure. Synthetic leather and textile upper. US Sizing
1071,rox studded foldover ankle boot,691,Man-made materials,30.99,F,boots,Black,Cushioned insole with arch support. Laced up enclosure. Rubber outsole with heel. Studded ankle fold over. Synthetic upper
1072,roxane printed wedge,691,Man-Made Materials,17.99,F,wedges,Orange,"4.75"" heel with 2"" platform. Fashionable open-toed wedge. Lightly padded footbed. Synthetic leather construction upper. Woven textile design on wedge"
1074,rs 100 city sneakers,959,"Textile Upper, Textile Insole, Rubber Sole",56.99,M,sneakers,Black,Breathable textile lining with a cushioned textile insole. Durable rubber outsole. Lace-up closure for an adjustable and secure fit. Lightly padded collar for added comfort. Synthetic leather combined with nylon fabric for flexibility and comfort
1075,ruben low,781,Leather and Man-Made materials,13.99,M,sneakers,Brown,Extra thick molded EVA sock liner for long wearing comfort. Internal EVA midsole. Lace-less design with an easy slip on/off function. Leather upper is breathable and durable. Rubber sole. Soft Textile lining
1076,rucker sneakers,276,Leather and Man Made Materials,90,M,sneakers,Black,Airbag heel cushioning. Comfortable textile lining. Cool comfort perforated toe and side panels. Leather upper with double stitch overlays. Osiris text on tongue and heel. Rubber outsole with herringbone tread
1077,rugger mid mountain boot,855,"Leather Upper, Rubber Sole",31.99,M,boots,"Black,Grey",Durable rubber sole. Flexible footbed for ideal agility while extreme hiking. Leather upper. Logo embellished hardwear. Logo on heel and tongue. Reinforced tab at heel for easy slip-on ability. Rubber toe bumper. Waterproof membrane lining ensuring dry fe
1079,ryan high sneaker,970,"Synthetic Upper, Textile Insole, Rubber Sole",55.99,M,sneakers,Black,Logo embossed hardware piece on side with woven applique. Rubber cupsole for durable traction. Self-tie lace closure with metal eyelets and rubber logo embossed applique at top of tongue. Stylish high top sneaker. Synthetic patent leather toe cap with syn
1252,the canon outdoor boot w/ faux fur insulation,289,Man Made Materials,35.99,M,boots,Brown,Faux fur insulation. Self tie lace closure. Waterproof leather. Waterproof shell
1352,vinia boot,691,Man-Made Materials,18.99,F,boots,Black,1.5 inch heel. Adjustable straps with stud and buckle detail. Cushioned insole. Pull on style. Rubber outsole. Synthetic upper
1373,whiz athletic sneaker,573,Leather and Man-Made materials,17.99,M,sneakers,Charcoal,Cushioned insole. Durable rubber sole. Leather upper. Mid-top design. Raised metal logo on tongue. US Sizing
1080,rythm 5 sneakers,959,"Leather Upper, Textile Insole, Rubber Sole",47.99,F,flats,Black,Elasticized top line. High-shine leather upper with fabric strap. Leather lining and insole. Low profile. Rubber sole. Slip on style
1081,s1w black satin tuf/patent leather sneakers,684,Leather Upper and Rubber Sole,58.99,M,sneakers,Black,Heel pull. Hi-top design. Leather upper with patent leather trim. Padded at ankle for extra support and comfort. Rubber sole for traction and durability. Self tie lace closure
1082,s1w grey satin tuf sneakers,684,Leather and man made materials,58.99,M,sneakers,"Black,Blue","Classic self-tie lace closure. Designer logos on tongue, heel, and side panel. Durable rubber sole for optimal traction. Extra padded ankle for superior protection. Mid-top design. US sizing"
1083,s1w sneakers,684,Leather and Man Made Materials,49.99,M,sneakers,"Black,Purple",Contrast logo details on tongue and heel. Heel strap. Nubuck and suede uppers. Padded black mesh lining. Padded tongue and collar. Rubber sole. Tonal metal eyelets
1084,s1w white gunny tuf/leather sneakers,684,Leather and Man Made Materials,76.99,M,sneakers,,"Heel strap. Leather upper. Low cut heel. Padded black mesh lining. Padded tongue and collar. Speckled rubber sole. TUF foot and tonal rubber soles, logos and top metal eyelets"
1085,saba heel,691,Man-made materials,46.99,F,heels,Beige,4.5 inch heel. Animal print criss cross straps. Back zip closure. Basketweave trim. Leopard print criss cross straps. Lightly padded footbed. Open toe. Synthetic outsole. US Sizing
1086,sahara coated twill boots,823,"Canvas and Synthetic Upper, Rubber Sole",70,M,boots,Green,Brushed-metal zipper pull with Levi's branding. Canvas lining and cushioned footbed. Coated twill canvas upper. Extended ankle support. Extended inner collar lining lets you wear it up or can be folded down. Finger pull on heel. Zipper teeth eyerow with L
1088,samoa,514,Genuine Leather and Man-Made Materials,65,M,sneakers,White,"Nontraditional tread for ultimate traction. Oversized, textured, anti-scuff toe front detail. Popular 80's vintage design. Samoa printed text. Signature 3 stripe design at sides. Suede trim design to toe front and heel"
1089,samoa sneakers,514,Man-made materials,65,M,sneakers,Black,Contrasting signature 3-stripe logo on outer. Contrasting signature 3-stripe logo on outsole. Designer logos on tongue and outer. Elevated sole. Genuine leather exterior. Low top design. Self lace closure. Self tie lace closure. Self tie lace closure. Sig
1090,samoa w sneakers,514,Man-made materials,65,F,sneakers,Black,Contrasting signature three stripes on outsole. Logo patch on tongue. Low top. Low top. Padded interior. Self tie lace closure. Signature three stripes on outsole. Smooth genuine leather exterior. Tone on tone signature three stripes on outsole. Two sets 
1091,san francisco giants gazelle sneakers,514,"Leather Upper, Textile Insole, Rubber Sole",65,M,sneakers,Grey,"Adidas logo on tongue and heel. Contrasting signature three stripes on outer. EVA inlay. Self tie closure. Soft, Nubuck upper. Textile lining, and a rubber outsole"
1092,sandal w/back zipper,691,Man-Made Materials,28.99,F,sandals,Animal Print,1 inch heel. Faux leather upper. Faux leather upper with faux snakeskin print. Gold trim detail. Metallic trim detail. Open toe. Rubber sole. Zipper at back
2,3 buckle trim microsuede wedge boot,911,All man made materials,22.99,F,boots,Black,4 inch Wedge. Buckle design. Knee high style. Synthetic suede upper. Zipper closure
125,anna tall wedge boot,691,All man made materials,11.99,F,boots,Grey,4 inch wedge heel. Full zipper closure. Pieced design. Synthetic upper. Tassel detail on side
140,arnaud shoes,389,Man-made materials,18.99,M,casual shoes,Black,Buckle detail. Cushioned insole. Rubber sole for traction. Slip-on design. Synthetic leather upper. Tone on tone stitching
1094,sandal w/gold trim,691,Man-Made Materials,24.99,F,sandals,Black,1 inch wedge heel. 1 inch wedge heel. Embellishments on front strap. Faux leather back. Faux leather back. Metallic Straps. Metallic Straps. Round toe. Round toe. Rubber sole. Rubber sole. Slightly padded footbed. Slightly padded footbed. Slightly padded 
1095,sandstar m sandals,679,Man-Made Materials,20,M,sandals,Black,Contrast logo detail. Cushy fabric insole. Durable rubber outsole. Sneaker-inspired thong sandal
1096,santa ana hi boots,980,Man-made materials,21.99,M,boots,Black,Classic self tie lace closure. Cushioned insole. Durable rubber sole for optimal traction. Grooved duck foot design toe-box. High top design. Synthetic upper
1097,satoro boot,164,Leather and Man Made Materials,38.99,M,boots,Black,"3/4 inch heel. Canvas, nylon and rubber upper in a casual duck-inspired ankle boot style with a round rubber toe. D-ring lace-up front. Faux fur lining and removable cushioned insole. Faux fur trim and heel tab on 7 1/2 inch shaft. Overlay details. Rubber"
1098,satoro military boots,164,Leather and Man Made Materials,38.99,M,boots,Black,"3/4 inch heel. Canvas, leather and rubber upper in a casual duck-inspired ankle boot style with a round rubber toe. D-ring lace-up front. Faux fur lining and removable cushioned insole. Faux fur trim and heel tab on 7 1/2 inch shaft. Overlay details. Rubb"
1099,saturn faux suede all over printed boot,691,Man-made materials,47.99,F,boots,Multi,1.5 inch platform. 5.5 inch heel. All-over floral print design upper. Knee high style. Lightly cushioned insole. Zipper closure on side
1100,scarlet fringe detail suede moc flat,179,"Cow Suede Upper, Canvas Lining, TPR Sole",32.99,F,flats,Black,"Micro suede footbed with EVA cushion for comfort. Suede upper will stretch a bit after 2-3 wearings and will fit true to size. Suede upper with a moc toe featuring a contrast stitch color, fringe detail, and classic moc tie. TPR driving Moc outsole. True "
1101,scrimmage mid sneakers,448,"Leather Upper, Textile Insole, Rubber Sole",110,M,sneakers,"Black,Blue,White",Classic high top profile. Hexalite technology underfoot for cushioning. Leather and textile upper. Molded midfoot strap. Padded collar and tongue. Pieced material design with perforated detail. PVC heel counter for support. Rubber sole for traction. Self 
1102,sean low profile sneaker,664,Man-Made Materials,7.99,M,sneakers,"Gold,Black",Contrasting trim around sole. Durable rubber sole. Lace-up closure. Logo embroidery on side panel and tongue. Pieced canvas low top design. Rounded toebox
1103,sedutto shoes,389,Man-made materials,21.99,M,casual shoes,Black,Contrast stitching detail. Faux leather exterior. Padded insole for comfort. Rubber sole. Slip-on design
1104,seeley denim skate sneakers,514,"Textile Upper, Textile Insole, Rubber Sole",60,M,sneakers,Black,Canvas upper. Contrasting signature 3-stripe logo on outer. Designer logo on tongue and heel. Flat rubber sole. Low top design. Self tie lace closure
1105,seeley suede skate sneakers,514,SYNTHETIC LEATHER,65,M,sneakers,Black,"Classic, 3-stripe design on sides. Non-removable insole. One piece toe cap. Upper consists of a mixture of canvas and suede. Vulcanized sole"
1115,shana one strap heel,521,All Man Made Materials,20.99,F,heels,Black,5 inch heel. Lightly padded footbed. Open toe design. Zip back heel closure
1123,sire varsity punk sneaker,927,"PU Upper, Textile Lining, Leather Sole",60,F,sneakers,Silver,Quilted accents. Rubber outer sole. Self-tie lace closure. Small stud detail. US sizing
1125,siska boot,521,Man-Made Materials,14.99,F,boots,Black,Adjustable lace-up front. Adjustable strap below laces. Faux fur lining. Molded rubber outsole. Nylon upper. Synthetic suede trim
1136,skytop black suede/silver leather sneakers,684,"Leather,Suede and Man-made materials",59.99,F,sneakers,"Silver,Black",High top design. Mesh lining. Pieced suede detail. Self tie lace closure
1106,seeley suede sneakers,514,SYNTHETIC LEATHER,65,M,sneakers,Black,"Classic, 3-stripe design on sides. Non-removable insole. One piece toe cap. Upper consists of a mixture of canvas and suede. Vulcanized sole"
1107,selena wedge w/spikes,691,Man-made materials,18.99,F,wedges,Black,2 inch platform. 6 inch heel. Lightly padded footbed. Round toe. Side zipper. Spiked embellishments throughout heel. Synthetic suede upper
1108,septima wedge,691,Man-Made Materials,41.99,F,wedges,Black,"5"" heel with 1 1/2"" platform. Comfortable, lightly padded footbed. Faux-cork wedge with metal piece covering bottom of heel. Metal buckle at side of heel. Metal buuckle at side of heel. Synthetic leather construction"
1109,sequin dip flat,691,Man-Made Materials,14.99,F,flats,"Light Blue,Multi",Bow on front. Lightly padded lining and footbed. Multi-colored upper with all-over sequin detail. Round toe. Slip on design. US Sizing
1110,sergeant major low ultra woven shoes,463,"Dupont Tyvek Upper, Recycled materials",34.99,M,casual shoes,Black,Low top design with padded ankle collar for comfort. Pieced constructed upper made of recycled materials. Rubber logo patch at outside ankle. Textured rubber sole with lugs and toe cap for traction. Zipper and lace up detail
1111,severina wedge w/ detail,691,Man-Made Materials,50.99,F,sandals,Pink,"4 1/2"" heel with 1"" platform. Comfortable, lightly padded footbed. Faux-cork wedge with metal piece covering bottom of heel. Metal buckle at side of heel and across forefoot. Synthetic leather construction"
1112,sexy gladiator wedge sandal,911,Man-Made Materials,42.99,F,sandals,Black,"4"" heel. Back zip closure. Cut out design with tie closure at top. Faux leather upper. Gladiator style. Lightly padded footbed. Open toe. Rubber outsole. US Sizing"
1113,sh majestic mid sneakers,448,Leather Upper and Rubber Sole,74.99,M,sneakers,Black,"Breathable mesh lining and a padded foam sockliner for comfort and cushioning. High-abrasion rubber outsole. Low profile EVA midsole. Padded collar and tongue adds stability and support. Reebok Classics rivet branding on outer collar and a woven Reebok ""R"
1114,shadow bootie w/skull detail,691,Man-Made Materials,57.99,F,heels,Black,"2"" elevated front. 6.5 inch heel. Pointed toe. Synthetic leather through out. Textured skull design on top down to the heel. Zipper detail at side"
1116,sheik bootie w/skull detail,691,Man-made materials,32.99,F,boots,Black,2 inch elevated platform. 4.5 inch heel. Durable rubber sole for traction. Faux patent leather at toe box with skull detail. Self tie enclosure. Synthetic leather upper. Tone on tone stitch
1117,sheryl ankle bootie boot w/chain detail,691,Man Made Material,24.99,F,heels,Olive,"5"" wooden heel. Faux leather material. Pointed, almond toe. Removable buckle accent with chain and stud embellishment on ankle. Ruching effect on footbed. Zipper closure down back"
1118,shiny animal print comfy flat,566,Man-Made Materials,35.99,F,flats,Gold,Allover glitter faux snake print upper. Braided rope trim around sole. Comfortable slip-on flat. Contrasting canvas heel cap and lining. Lightly padded footbed. Rubber sole
1119,silvi wedge,691,Man Made Materials,30.99,F,wedges,Black,"4.5"" heel with 1"" platform. Faux metal detail on upper. Strap and metal buckle at ankle. Stylish open-toe wedge shoe. Synthetic leather construction"
249,camo print loafer,209,Canvas Upper and Rubber Sole,51.99,M,casual shoes,Camo,1 inch heel with rubber sole. All-over camo print. Canvas upper. Lightly padded footbed. Solid colored trim detail
267,casual driving shoe,980,Man-made materials,18.99,M,casual shoes,Black,Cushioned insole. Rubber sole for traction. Slip-on design. Synthetic leather upper with contrast stitching throughout
290,cheri sherpa lined boot,691,Man made materials,20.99,F,boots,Black,"4"" heel. Cushioned insole. Faux sherpa collar at ankle. Lace up detail. Round toe with taper at point"
1120,simple sneakers,116,Leather Upper and Rubber Sole,80,M,sneakers,"Animal Print,Black","Contrast metal key eyelet and side vents. Durable vulcanized rubber sole with herringbone-pattern tread for traction. Embossed logo detail on the heel. Hi top design. Lace-up closure. Leather upper. Leather upper with contrast stitch. Nylon, leather and s"
1121,sinnia studded trim thong sandal,521,Man-Made Materials,40.99,F,sandals,Black,1 inch wedge heel. Covered back heel. Jewel embellished front strap. Rubber traction outsole. Thong inspired design. US Sizing
1122,sire color blocking sneaker,927,"Textile Upper, Textile Insole, Rubber Sole",46.99,F,sneakers,Multi,Cushioned insole with arch support. Designer logo on tongue and outer. Lace up style with metal eyelets. Multi-color textile upper. Printed laces included. Printed lining. Rubber outsole
1124,sire varsity sheek sneaker,927,Leather and Man Made Materials,42.99,F,sneakers,Black,Cushioned insole with arch support. Lace up closure. Leather and textile upper. Rubber outsole. Studded details
1126,sister kelly,781,"Textile Upper, Textile Insole, Rubber Sole",33.99,F,sneakers,Black,"Can be worn with the collar turned up or down. Clean, athletic silhouette. Durable rubber sole. Elasticated laces with toggle for easy slip on/off function. Embroidered logo on top of tongue. Internal EVA midsole offering a cushioned ride. Internal EVA mi"
1127,skhigh boots,240,Leather and man made materials,77.99,M,boots,Black,Logo embossed hardware with Timberland logo embossed on outside of heel and tongue. Pieced leather upper. Rubber sole with lugs for traction. Self tie lace closure with metal eyelets
1128,sky 2 hi l nbk sneakers,959,Man Made Materials,75,M,sneakers,Charcoal,"Fabric lining. Lace up style with adjustable hook-and-loop straps. Leather, and textile upper. Rubber outsole provides excellent grip. US Sizing"
1129,sky ii hi shmr wmns sneakers,959,"Leather Upper, Textile and Rubber Sole",75,F,sneakers,Blue,Cushioned midsole for comfort. Durable rubber outsole for maximum traction. Hook-and-loop closure for easy on/off. Lace closure for a secure fit. Leather upper for long-lasting quality
1130,sky wedge animal wn's sneakers,959,"Leather and Synthetic Upper, Textile Insole, Rubber Sole",120,F,sneakers,Grey,"Lace up style with adjustable hook-and-loop straps. Leather, suede and textile upper. Padded high top collar and tongue. Rubber outsole provides excellent grip"
1131,sky wedge sneakers,959,Leather and Man Made Materials,100,F,sneakers,"Teal,White","Fabric lining. Lace up style with adjustable hook-and-loop straps. Leather, suede and textile upper. Rubber outsole provides excellent grip. US Sizing"
1132,sky wedge wns sneakers,959,Leather and Man Made Materials,100,F,sneakers,Black,"Fabric lining. Lace up style with adjustable hook-and-loop straps. Leather, suede and textile upper. Rubber outsole provides excellent grip. US Sizing"
1133,skytop 3 purple matte leather/suede sneakers,684,Leather and man made materials,41.99,M,sneakers,Purple,Ergonomic bottom is assembled for superior flexibility and board feel. Fully enclosed mesh booty offers a breathable ankle support for use during heavy activity. Low top profile. Removable EVA heel pod with AIR pocket provides extra protection from sudden
384,deedra flats,691,Leather and Man-Made materials,10.99,F,flats,Black,Gold detail on rounded toe. Lightly padded lining and footbed. Slip on design. Suede upper. US sizing
431,dynamite bootie,565,Man-Made Materials,20.99,F,boots,Gold,"1"" Platform, 5"" heel. Back zipper closure. Logo embossed on sole. Open toe. Sequin material"
461,elois sneaker,521,Man-Made Materials,23.99,F,sneakers,Black,Designer emblem with rhinestone embellishments. Fold over detail with snap button. Rubber outsole. Self tie lace closure. US sizing
1134,skytop 3 sneakers,684,Leather and Man Made Materials,81.99,M,sneakers,"Black,Light Blue",Designer name on tongue and heel. Designer name on tongue and heel. Durable rubber sole. Durable rubber sole. High top design. Leather and textile uppers. Leather and textile uppers. Mesh lining for comfort and support. Mesh lining for comfort and support
1135,skytop black nubuck/gold microperf leather sneakers,684,Leather and Man Made Materials,79.99,M,sneakers,"Black,Gold",High top design. Leather and textile upper. Metal die-cut Supra crown logo on back. Perforated gold sides. Self tie lace closure. Vulcanized rubber sole
1137,skytop cheetah print canvas sneakers,684,"Textile Upper, Textile Insole, Rubber Sole",95,F,sneakers,Animal Print,Cheetah print patterned panels. Die-cut hardware piece on back of pull tab. Padded mesh socklining with padded collar for comfortable fit. Rubber sole with herringbone pattern for grip and durability. Self-tie lace closure with padded tongue. Treated canv
1138,skytop grey fish scale/black glitter sneakers,684,"Leather and Textile Upper, Textile Insole and Rubber Sole",67.99,F,sneakers,Grey,"Glitter detail throughout on toebox, sides and collar. High top design. Rubber sole. Self tie lace closure. Soft scale-like texture on grey leather panels. Tone-one-tone stitching"
1139,skytop iii black block-stitch tuf sneakers,684,"Synthetic and Textile Upper, Textile Insole, Rubber Sole",103.99,M,sneakers,Black,Logo embossed TPR cage and heel pull. Padded mesh sock lining with padded collar for comfortable fit. Perforated black Raptor TUF upper. Rubber sole with herringbone pattern for grip and durability. Self-tie lace closure with padded mesh tongue. SUPRAFOAM
1140,skytop iii charcoal express tuf sneakers,684,Leather and Man Made Materials,76.99,M,sneakers,"Lime Green,Charcoal",Ergonomic bottom is assembled for superior flexibility and board feel. Fully enclosed mesh booty offers a breathable ankle support for use during heavy activity. Low top profile. Removable EVA heel pod with AIR pocket provides extra protection from sudden
1141,skytop iii tiger print sneakers,684,"Leather and Synthetic Upper, Textile Insole, Rubber Sole",74.99,M,sneakers,"Animal Print,Black,Purple",Padded purple mesh socklining with padded collar for comfortable fit. Purple TPR cage and heel pull. Rubber sole with herringbone pattern for grip and durability. Self-tie lace closure with padded mesh tongue. Suede upper. Tiger-print pony fur panels on u
1142,skytop iii white raptor tuf sneakers,684,"Synthetic and Textile Upper, Textile Insole, Rubber Sole",88.99,M,sneakers,"Crimson,White",Logo embossed TPR cage and heel pull. Padded mesh socklining with padded collar for comfortable fit. Perforated white Raptor TUF upper with red and black accents. Rubber sole with herringbone pattern for grip and durability. Self-tie lace closure with pad
1143,skytop iii white vintage canvas sneakers,684,"Synthetic Upper, Textile, Rubber Sole",120,M,sneakers,"Black,Red,White",Canvas and synthetic upper. Hi top design. Lace up closure. Non marking EVA sole. Padded ankle lining. Reinforced  toe
1144,skytop lite sneakers,684,"Leather Upper, Textile Insole, Rubber Sole",95.99,M,sneakers,"Black,Red","Abrasion-resistant, TUF  treated canvas upper. Elastic tongue straps and thin padding with ankle support. Gum rubber outsole. High memory polyurethane insole for extra heel protection and comfortable ride. Self-tie lace closure with braided rope laces and"
522,flat w/buckle,691,All man made materials,7.99,F,flats,Purple,Buckle detail on top. Lightly padded lining and footbed. Moccasin style upper. Round toe. Slip on design. US Sizing
545,frostine spike flats,691,Man-Made Materials,29.99,F,flats,Black,Clear lucite panels. Closed toe. Cushioned insole. Glossy patent leather toe and heel with spikes. Rubber sole. US Sizing
1145,skytop lite special edition sneakers,684,Man Made Materials,125,M,sneakers,Black,3M reflective TUF upper. Contrast rubber sole and SUPRA logo on upper heel. Hi top lightweight design. High memory polyurethane insole. Lace up closure. SUPRAFOAM sole
1146,skytop red leather/mesh sneakers,684,Leather and Man Made Materials,67.99,F,sneakers,Red,High top design. Leather and mesh upper. Metal die-cut Supra crown logo on back. Perforated detail. Self tie lace closure. Vulcanized rubber sole
1147,skytop sneakers,684,Leather and Man Made Materials,83.99,M,sneakers,"Black,Light Blue",Hidden velcro pocket under tongue. High top design. Perforated detail. Pieced suede and leather trim throughout. Rubber outsole. Rubber outsole. Self tie lace-up closure. Self tie lace-up closure
1148,skytop tiger print sneakers,684,Genuine leather and man-made materials,102.99,M,sneakers,"Animal Print,Purple","Rubber pull on back. Textured tread. Upper of leather, suede, or textile materials"
1149,skytop white raptor tuf sneakers,684,Leather and Man Made Materials,92.99,M,sneakers,,Cushioned insole. High top design. Leather and textile uppers. Logo on tongue and outer. Mesh lining. Rubber outsole. Self tie closure. TUF material
1150,sl berlin chukka sneakers,448,"Synthetic Upper, Textile Insole, Rubber Sole",79.99,M,sneakers,Camo,Contrasting cupsole with mult-pattern tread for superior grip and durability. Contrasting stitched piping. Padded collar for comfortable fit with caution orange mesh socklining. Pieced woven mesh construction. Self-tie lace closure with metal eyelets and 
1151,sl berlin deck snakeskin style sneakers,448,Leather and Man Made Materials,75,M,sneakers,Grey,Abrasive rubber outsole for extra durability and traction. Embroidered logo on tongue. Padded insole. Self tie lace closure. Snakeskin embossed leather upper
1152,slip on canvas sneaker,980,All Man Made Materials,30.99,M,casual shoes,Navy,Exterior denim look. Eyelet accents. Leather sock lining. Pieced faux leather detail. Slip-on design
1153,slip on driving shoes,980,Man-made materials,18.99,M,casual shoes,Black,Buckle detail. Cushioned insole. Rubber sole for traction. Slip-on design. Synthetic leather upper with contrast stitching throughout
1154,smoking flat w/studs,691,All man made materials,11.99,F,flats,Black,All-over stud design upper. Lightly padded lining and footbed. Round toe. Slip on design. US sizing
1155,snake wedge laser cut out w/ flower detail,691,Man-Made Materials,30.99,F,wedges,"Animal Print,Pink","5"" heel with 1.5"" platform. Faux leather upper. Faux snakeskin print wedge. Intricate cut out design with small studs. Lightly padded footbed. Peep toe opening"
1156,snake wedge w/ mesh cut out,691,Man-Made Materials,34.99,F,wedges,Black,"Faux snakeskin 5-inch wedge heel, with a 1.5-inch platform. Man-made sole. Open toe. Slightly padded footbed. Slip on style. Synthetic mesh upper with cut out and studded details. US sizing"
1157,snake wedge w/ studded front,691,Man-Made Materials,30.99,F,wedges,"Animal Print,Tan","5"" heel with 1.5"" platform. Faux leather upper. Faux snakeskin print wedge. Intricate cut out design with all-over stud detail. Lightly padded footbed. Peep toe opening"
1159,snappie,314,Man-Made Materials,26.99,F,boots,Tan,Loop tabs for slip-on ease. Pieced synthetic construction. Triple stitching at vamp to ankle
1160,sneak high midprofile sneaker,664,Man-Made Materials,19.99,M,sneakers,Red,Dual synthetic leather exterior. High top style. Padded insole. Rubberized lace loops. Self tie closure
1161,sneak low profile sneaker,664,All man made materials,15.99,M,sneakers,Black,Adjustable velcro strap across laces. Flat sole. Glossy trims. Low top. Padded interior. Self tie closure
1177,spike peep toe heel,691,Man Made Materials,16.99,F,heels,Yellow,"5.5"" heel with 2"" elevated platform toe. Glitter and spike detail. Peep toe design. Rubber outsole for grip. Synthetic upper"
1158,snake wedge w/studded front,691,Man-Made Materials,39.99,F,sandals,Black,"5"" heel with 1.5"" platform. Faux leather upper. Faux snakeskin print wedge. Intricate cut out design with all-over stud detail. Lightly padded footbed. Peep toe opening"
1162,sneaker wedge bootie,691,Man-made materials,29.99,F,sneakers,Blue,"Covered wedge 3.5"" heel. Padded collar and tongue with soft textile sock liner. Pieced synthetic leather and textile construction. Rubber herringbone sole for traction. Strap across vamp. Woven detail throughout"
1163,sneaker wedge w/cutout detail,691,Leather and man made materials,35.99,F,sneakers,Black,"Covered wedge 3.5"" heel. Lace up style. Padded collar and tongue with soft textile sock liner. Pieced synthetic leather and textile construction. Rubber herringbone sole for traction. Tone on tone stitch"
